seed,step,link,condition,is_under_attack,selected_kem,selected_sig,security_level,alert_level,action_taken,latency_ratio
0,12,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,12,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.9109046502996885
0,12,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.05760836295945704
0,13,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,13,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,13,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.7345830245084015
0,13,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-87,3,CLEAR,ALLOW,0.09122474349365307
0,14,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,14,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,14,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.9588953782735481
0,14,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.07423319408027992
0,15,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,15,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,15,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.9311904233396038
0,15,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.06292699628136145
0,16,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,16,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,16,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.8331127377973586
0,16,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.10675496853101209
0,17,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,17,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,17,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.8829415793151109
0,17,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-65,1,CLEAR,ALLOW,0.07542853460393299
